[INFO] 2025-11-25 21:34:05,531 - main - ===== Training Mode =====
[INFO] 2025-11-25 21:34:05,531 - main - Training protocol: simple_majority with 3 players and 1 rounds.
[INFO] 2025-11-25 21:34:05,531 - main - Initializing the environment and model...
[INFO] 2025-11-25 21:34:05,937 - main - Generating all possible input patterns...
[INFO] 2025-11-25 21:34:05,938 - main - Input patterns generated.
[INFO] 2025-11-25 21:34:05,938 - main - Starting training...
[INFO] 2025-11-25 21:34:05,938 - main - Epoch 1/3, training on 200 failed cases from last evaluation.
[INFO] 2025-11-25 21:34:08,693 - verifier.verifier - Final global state: [<State.NO: 0>, <State.NO: 0>, <State.FAIL: 2>]
[INFO] 2025-11-25 21:34:08,694 - verifier.verifier - Final global state: [<State.NO: 0>, <State.NO: 0>, <State.FAIL: 2>]
[INFO] 2025-11-25 21:34:08,694 - verifier.verifier - Final global state: [<State.NO: 0>, <State.NO: 0>, <State.FAIL: 2>]
[INFO] 2025-11-25 21:34:08,694 - verifier.verifier - Final global state: [<State.NO: 0>, <State.FAIL: 2>, <State.NO: 0>]
[INFO] 2025-11-25 21:34:08,695 - verifier.verifier - Final global state: [<State.NO: 0>, <State.FAIL: 2>, <State.NO: 0>]
[INFO] 2025-11-25 21:34:08,695 - verifier.verifier - Final global state: [<State.NO: 0>, <State.FAIL: 2>, <State.NO: 0>]
[INFO] 2025-11-25 21:34:08,695 - verifier.verifier - Final global state: [<State.NO: 0>, <State.FAIL: 2>, <State.NO: 0>]
[INFO] 2025-11-25 21:34:08,696 - verifier.verifier - Final global state: [<State.FAIL: 2>, <State.NO: 0>, <State.NO: 0>]
[INFO] 2025-11-25 21:34:08,696 - verifier.verifier - Final global state: [<State.FAIL: 2>, <State.NO: 0>, <State.NO: 0>]
[INFO] 2025-11-25 21:34:08,696 - verifier.verifier - Final global state: [<State.FAIL: 2>, <State.NO: 0>, <State.NO: 0>]
[INFO] 2025-11-25 21:34:08,696 - verifier.verifier - Final global state: [<State.FAIL: 2>, <State.NO: 0>, <State.NO: 0>]
